sensor_id,latitude,longitude
500014102,36.9881332,-121.9997261
500014112,36.98831253,-122.0063686
500014122,36.98855506,-122.0115532
405575,36.98915746,-122.0187173
500014133,36.98915746,-122.0187173
500014142,36.98703276,-122.0227085
403465,36.98611084,-122.0238562
416145,37.79205125,-122.4698157
767494,34.1033291,-118.2496832
767509,34.10771856,-118.2496981
767523,34.1140284,-118.2430079
767541,34.11605202,-118.238378
767554,34.12101044,-118.2297803
767572,34.12804438,-118.2286256
767620,34.13534628,-118.2293618
767455,34.146611,-118.226167
768202,34.14795796,-118.2257526
767470,34.1560046,-118.2240864
767585,34.16636582,-118.2241006
767597,34.17482282,-118.2214164
767609,34.184453,-118.2173993
768238,34.20033036,-118.2192293
767495,34.10336188,-118.2499749
718064,34.11254782,-118.2455331
767542,34.11621872,-118.2385571
718066,34.1217432,-118.2295672
767573,34.12805788,-118.2289146
767621,34.13531608,-118.229569
762329,34.13877549,-118.2287072
767454,34.14665924,-118.2263595
718072,34.14824082,-118.2259665
767471,34.15603712,-118.2241799
718076,34.16116485,-118.2257175
767598,34.17484334,-118.2217042
767610,34.18446478,-118.2178199
768230,34.20040592,-118.2194556
402216,38.013475,-122.257595
404356,38.01588157,-122.182664
402518,38.015525,-122.1790499
402516,38.00696163,-122.1666075
402214,38.001498,-122.150137
402212,37.99532085,-122.1449937
402210,37.9898315,-122.1397375
402835,37.990353,-122.131022
414294,37.99104237,-122.1279919
414295,37.99391386,-122.1219137
402513,37.99554589,-122.1190899
414025,37.99614092,-122.1174358
402512,37.99632106,-122.1134326
402510,37.99370369,-122.1070309
414028,37.99096315,-122.0984553
416736,37.99071076,-122.0979316
414031,37.99056884,-122.0928374
402837,37.99099551,-122.0866072
401952,37.992176,-122.0764807
414032,37.99258697,-122.0753253
406623,37.99398966,-122.0712877
405046,37.99512208,-122.0679167
414039,37.998268,-122.060378
405270,38.00138908,-122.0509321
402207,38.00216157,-122.0477746
401617,38.00459997,-122.038549
405580,38.00765856,-122.0321054
414480,38.00918345,-122.0250073
400615,38.01029448,-122.0174393
402205,38.01134653,-122.0105741
401568,38.01323891,-121.9985058
400049,38.014622,-121.994448
406056,38.01860977,-121.9872479
407233,38.02117284,-121.9814896
406057,38.023532,-121.97444
405269,38.02336559,-121.9691333
400764,38.022988,-121.966809
400270,38.02224393,-121.962335
404350,38.02086633,-121.9542859
401485,38.01886224,-121.9489396
400324,38.01870167,-121.9423793
404873,38.01871256,-121.9386909
414035,38.01940978,-121.9246582
402503,38.01999275,-121.9170245
402203,38.01992738,-121.9059728
401826,38.01977322,-121.901771
401828,38.01755387,-121.8923026
401829,38.01633833,-121.8868664
402502,38.01451744,-121.8796522
414041,38.01385518,-121.8775012
401954,38.0111316,-121.8649493
402069,38.00852769,-121.8545094
408154,38.0077334,-121.8522353
408602,38.00374279,-121.8359266
408604,38.0023953,-121.8316047
402496,38.00162092,-121.8298635
409956,37.99999075,-121.8232533
409958,37.99880967,-121.8197696
409960,37.99805603,-121.8157123
416929,37.99804371,-121.8089136
402491,37.998048,-121.8054345
416930,37.99803714,-121.8030296
416449,37.99796341,-121.7966137
414707,37.99628851,-121.7877863
402489,37.99567938,-121.7843784
414831,37.99580291,-121.7836561
414830,37.9947653,-121.7777333
402487,37.99438195,-121.7753834
